Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C31,10n0,C_0805_2012Metric,-9.500000,-38.187500,270.000000,top
C32,100n,C_0805_2012Metric,-28.537500,11.700000,0.000000,top
C33,100u,CP_EIA-3528-21_Kemet-B,-14.500000,-32.537500,270.000000,top
C34,100u,CP_EIA-3528-21_Kemet-B,-14.500000,-27.037500,90.000000,top
C35,1n00,C_0805_2012Metric,-45.917500,-8.483000,180.000000,top
C36,10u0/75V,C_1210_3225Metric,-10.334800,40.741600,180.000000,top
C37,10u0/75V,C_1210_3225Metric,-25.403000,24.384000,0.000000,top
C38,10u0/75V,C_1210_3225Metric,-9.826800,32.816800,0.000000,top
C39,10u0/75V,C_1210_3225Metric,-25.403000,27.813000,0.000000,top
C40,1n00,C_0805_2012Metric,-45.917500,-10.642000,180.000000,top
C41,10n0,C_0805_2012Metric,-4.635500,27.417000,90.000000,top
C42,10u0/25V,C_0805_2012Metric,-40.629500,-19.889000,270.000000,top
C43,10u0/75V,C_1210_3225Metric,-10.334800,44.551600,180.000000,top
C44,10u0/75V,C_1210_3225Metric,-9.826800,36.626800,0.000000,top
C45,100n,C_0805_2012Metric,-44.297600,26.134300,90.000000,top
C46,100n,C_0805_2012Metric,6.667500,31.874700,90.000000,top
C47,1n00,C_0805_2012Metric,-45.917500,-12.801000,180.000000,top
C48,100n,C_0805_2012Metric,-28.854400,34.821100,90.000000,top
D1,BLUE,LED_0805_2012Metric,-38.754000,-24.119499,90.000000,top
D2,RED,LED_0805_2012Metric,-30.118000,-24.017328,90.000000,top
D3,GREEN,LED_0805_2012Metric,-34.436000,-24.055999,90.000000,top
D4,SS210,D_SMA,21.800000,-35.750000,90.000000,top
D5,SS210,D_SMA,-2.500000,-32.750000,90.000000,top
D6,B5819W,D_SOD-123,14.200000,-49.500000,270.000000,top
D7,B5819W,D_SOD-123,3.100000,-41.950000,0.000000,top
D8,SMMBD914LT3G,SOT-23,-32.400000,10.100000,90.000000,top
D9,SMMBD914LT3G,SOT-23,-51.900000,9.000000,90.000000,top
D10,SMMBD914LT3G,SOT-23,-42.100000,9.600000,90.000000,top
J1,Conn_01x06,JST_SH_BM06B-SRSS-TB_1x06-1MP_P1.00mm_Vertical,-18.900000,-48.025000,158.000000,top
J2,Conn_01x06,JST_SH_BM06B-SRSS-TB_1x06-1MP_P1.00mm_Vertical,-7.950000,-51.100000,170.000000,top
J3,Conn_01x06,JST_SH_BM06B-SRSS-TB_1x06-1MP_P1.00mm_Vertical,-28.775000,-42.600000,145.000000,top
J5,Conn_01x03,JST_SH_BM03B-SRSS-TB_1x03-1MP_P1.00mm_Vertical,1.950000,-52.075000,180.000000,top
J12,NTC,2pad_smd_testpin,-46.672500,16.827500,180.000000,top
J13,Conn_01x02,2pad_smd_testpin,-19.280000,-19.820000,135.000000,top
L1,470u,L_12x12mm_H6mm,12.050000,-32.800000,0.000000,top
L2,15u0,L_7.3x7.3_H4.5,-8.475000,-32.050000,270.000000,top
Q1,"TPH2R608NH,L1Q",TRANS_TPHR8504PL-3PIN,-31.329730,26.497174,90.000000,top
Q2,"TPH2R608NH,L1Q",TRANS_TPHR8504PL-3PIN,-31.329730,18.581174,90.000000,top
Q3,"TPH2R608NH,L1Q",TRANS_TPHR8504PL-3PIN,-4.165600,42.722800,90.000000,top
Q4,"TPH2R608NH,L1Q",TRANS_TPHR8504PL-3PIN,-4.165600,34.603600,90.000000,top
Q5,"TPH2R608NH,L1Q",TRANS_TPHR8504PL-3PIN,-15.875000,34.848800,90.000000,top
Q6,"TPH2R608NH,L1Q",TRANS_TPHR8504PL-3PIN,-16.002000,26.847800,90.000000,top
R1,0R00,R_0805_2012Metric,-33.320000,-32.907500,90.000000,top
R2,22R1,R_0805_2012Metric,-37.625000,-28.137500,270.000000,top
R3,22R1,R_0805_2012Metric,-35.325000,-28.087500,270.000000,top
R4,2k70,R_0805_2012Metric,-20.152005,-41.787500,270.000000,top
R5,100R,R_0805_2012Metric,-0.390000,-46.762499,270.000000,top
R6,2k70,R_0805_2012Metric,-17.850000,-42.637500,270.000000,top
R7,2k70,R_0805_2012Metric,-15.575000,-43.462500,270.000000,top
R8,10k0,R_0805_2012Metric,-13.250000,-44.662500,270.000000,top
R9,1k00,R_0805_2012Metric,-36.595000,-24.119499,90.000000,top
R10,221R,R_0805_2012Metric,-27.959000,-24.055999,90.000000,top
R11,221R,R_0805_2012Metric,-32.277000,-24.055999,90.000000,top
R12,680k,R_0805_2012Metric,20.450000,-46.525000,90.000000,top
R13,56k0,R_0805_2012Metric,-51.200000,0.637500,270.000000,top
R14,2k70,R_0805_2012Metric,-53.300000,0.637500,270.000000,top
R15,680k,R_0805_2012Metric,8.800000,-41.200000,180.000000,top
R16,10k0,R_0805_2012Metric,8.880001,-43.350000,0.000000,top
R17,56k0,R_0805_2012Metric,-41.910000,0.468000,270.000000,top
R18,2k70,R_0805_2012Metric,-39.624000,0.468000,270.000000,top
R19,56k0,R_0805_2012Metric,-32.638000,0.586500,270.000000,top
R20,2k70,R_0805_2012Metric,-30.226000,0.586500,270.000000,top
R21,56k0,R_0805_2012Metric,-49.962500,-15.000000,0.000000,top
R22,2k70,R_0805_2012Metric,-49.962500,-17.200000,0.000000,top
R23,2k70,R_0805_2012Metric,8.880001,-47.750000,180.000000,top
R24,4R75,R_0805_2012Metric,2.900000,-29.500000,0.000000,top
R25,4R75,R_0805_2012Metric,0.000000,42.974500,90.000000,top
R26,4R75,R_0805_2012Metric,0.127000,32.497000,270.000000,top
R27,10k0,R_0805_2012Metric,-12.210000,-38.137500,270.000000,top
R28,4R75,R_0805_2012Metric,-27.279600,20.901900,270.000000,top
R29,1k00,R_0805_2012Metric,-40.703500,19.606500,270.000000,top
R30,1k00,R_0805_2012Metric,-28.854400,38.834300,90.000000,top
R31,0R001,R_2512_6332Metric,3.450000,38.227000,180.000000,top
R32,4R75,R_0805_2012Metric,-27.279600,16.533100,90.000000,top
R33,1k00,R_0805_2012Metric,3.680700,26.111200,180.000000,top
R34,5k90,R_0805_2012Metric,-9.600000,-42.197500,270.000000,top
R36,10k0,R_0805_2012Metric,-46.692500,21.170000,0.000000,top
R38,4R75,R_0805_2012Metric,2.900000,-31.850000,0.000000,top
R39,4R75,R_0805_2012Metric,2.850000,-34.200000,0.000000,top
R41,10k0,R_0805_2012Metric,-28.537500,-28.200000,180.000000,top
R42,4R75,R_0805_2012Metric,-11.633200,28.775900,270.000000,top
R43,4R75,R_0805_2012Metric,-11.684000,24.638000,90.000000,top
R45,0R001,R_2512_6332Metric,-36.957000,26.035000,270.000000,top
R46,0R001,R_2512_6332Metric,-21.082000,35.052000,270.000000,top
U1,STM32F405RGTx,LQFP-64_10x10mm_P0.5mm,-35.928200,-10.981400,270.000000,top
U2,SN74LVC1G66DBVR,M74VHC1GT66DTT1G,-46.000000,0.431800,180.000000,top
U3,LM5107,SOIC-8_3.9x4.9mm_P1.27mm,-47.105000,6.900000,0.000000,top
U4,INA240A2,INA240A1QPWRQ1,-41.249600,25.958800,180.000000,top
U5,INA240A2,INA240A1QPWRQ1,3.373001,31.648400,180.000000,top
U6,INA240A2,INA240A1QPWRQ1,-25.603200,35.153600,0.000000,top
U7,SN74LVC1G66DBVR,M74VHC1GT66DTT1G,-37.211000,19.304000,182,top
U8,SN74LVC1G66DBVR,M74VHC1GT66DTT1G,-26.223001,42.786300,270.000000,top
U9,SN74LVC1G66DBVR,M74VHC1GT66DTT1G,-0.622300,27.493001,270.000000,top
U10,LM5008MM,MSOP-8_3x3mm_P0.65mm,12.800000,-43.375000,180.000000,top
U11,SN74LVC1G66DBVR,M74VHC1GT66DTT1G,-36.322000,0.508000,180.000000,top
U12,LM5107,SOIC-8_3.9x4.9mm_P1.27mm,-37.400000,7.000000,0.000000,top
U13,SN74LVC1G66DBVR,M74VHC1GT66DTT1G,-27.068000,0.431800,180.000000,top
U14,TPS5430DDA,TI_SO-PowerPAD-8_ThermalVias,-4.525000,-39.520000,270.000000,top
U15,LM5107,SOIC-8_3.9x4.9mm_P1.27mm,-27.700000,6.800000,0.000000,top
Y1,ABM3B 8MHz,Crystal_SMD_5032-4Pin_5.0x3.2mm,-50.174400,-8.254800,90.000000,top
